cpu_percent,ram_percent,disk_read_Bps,disk_write_Bps,net_in_Bps,net_out_Bps
5.7,34.3,0,1892352,196,134
3.8,34.3,0,1003520,155,453
1.8,34.3,0,999424,0,0
2.0,34.2,0,1290240,196,134
3.3,34.2,0,1003520,42,62
1.6,34.2,0,966656,348,381
1.3,34.2,0,974848,0,0
2.4,34.2,0,1462272,568,579
3.8,34.2,0,24178688,719,1194
3.5,34.1,0,761856,171,106
3.6,34.2,0,860160,650,751
1.5,34.2,0,749568,196,134
6.0,34.2,0,688128,196,134
6.1,34.2,0,753664,242,275
2.8,34.1,0,753664,196,134
4.8,34.1,0,757760,282,295
2.9,34.0,0,1007616,0,0
3.6,33.9,0,782336,482,593
1.9,33.8,0,1011712,282,401
2.4,33.8,0,622592,238,344
5.4,33.9,0,610304,196,220
2.8,33.9,0,712704,66,0
2.4,33.9,0,544768,86,161
1.6,33.9,0,1208320,592,1170
5.5,34.0,0,1212416,17838,14425
4.0,34.0,0,1634304,978,244
2.1,34.0,0,1007616,0,110
2.9,34.0,0,1007616,942,660
2.8,34.0,0,1003520,218,621
5.3,34.1,0,999424,221,227
3.5,34.1,0,1671168,392,268
2.6,34.2,0,1003520,196,134
2.6,34.2,0,1306624,196,134
2.5,34.2,0,974848,156,114
2.4,34.2,0,970752,262,549
3.5,34.2,0,966656,367,220
5.1,34.2,0,974848,287,644
7.5,34.2,0,970752,0,0
5.3,34.2,0,966656,282,295
5.5,34.3,0,1179648,221,411
5.3,34.2,0,970752,262,134
3.8,34.3,0,19079168,358,427
2.9,34.3,0,897024,0,0
3.5,34.3,0,753664,262,405
2.4,34.2,0,610304,155,86
2.5,34.2,0,765952,238,196
3.1,34.2,0,684032,0,0
2.3,34.2,0,610304,392,268
2.3,34.2,0,688128,222,401
1.8,34.2,0,823296,327,427
2.6,34.1,0,688128,478,366
3.8,34.1,0,921600,196,134
2.1,34.1,0,684032,196,134
2.2,34.1,0,679936,156,114
2.4,34.1,0,548864,196,134
2.4,34.1,0,929792,417,673
4.0,34.2,0,999424,0,0
3.9,34.2,0,1232896,86,161
1.5,34.2,0,1732608,356,369
2.3,34.2,0,999424,90,196
3.1,34.2,0,2277376,351,699
2.0,34.2,0,1708032,0,0
2.8,34.2,0,1007616,0,0
1.5,34.2,0,974848,196,134
3.1,34.2,0,1175552,0,0
3.9,34.1,0,966656,612,847
3.1,34.1,0,1077248,86,161
2.4,34.1,0,1204224,637,931
2.4,34.1,0,966656,132,335
2.2,34.1,0,974848,86,161
3.4,34.1,0,1003520,650,751
5.5,34.1,0,22683648,1070,1801
6.5,34.1,0,843776,1277,2262
5.3,34.0,0,684032,825,609
1.0,34.0,0,749568,282,381
1.6,34.0,0,757760,262,134
1.3,34.0,0,684032,4645,13030
1.3,33.9,0,749568,1146,461
1.0,33.9,0,688128,282,401
2.5,34.0,0,684032,495,541
4.0,34.0,0,540672,674,1028
4.3,33.9,0,815104,0,0
1.6,33.9,0,614400,0,0
5.5,34.0,0,679936,453,381
3.8,34.0,0,688128,0,0
3.0,34.0,0,614400,367,220
3.1,34.0,0,962560,171,86
6.1,34.0,0,573440,458,603
5.7,33.9,0,614400,198,176
6.2,34.1,0,540672,152,302
10.1,34.2,0,811008,524,495
7.9,34.2,0,1769472,10622,16563
6.4,34.2,0,1142784,433,587
7.4,34.2,0,1007616,156,114
5.9,34.2,0,1003520,726,799
3.0,34.2,0,999424,906,737
1.9,34.2,0,1110016,0,0
4.4,34.2,0,1888256,653,1150
4.4,34.2,0,999424,865,1450
3.3,34.1,0,1007616,514,515
4.9,34.2,0,1003520,608,986
3.3,34.2,0,21504000,0,0
3.1,34.1,0,757760,460,557
2.1,34.1,0,962560,196,134
1.8,34.1,0,679936,0,0
1.8,34.1,0,827392,196,134
2.6,34.1,0,753664,0,0
2.3,34.2,0,729088,633,770
