cpu_percent,ram_percent,disk_read_Bps,disk_write_Bps,net_in_Bps,net_out_Bps
8.1,29.3,0,1183744,392,268
9.7,29.3,0,1605632,417,732
7.9,29.3,0,2437120,74,74
7.2,29.3,0,1110016,282,245
11.3,29.3,0,24223744,0,161
13.4,29.7,0,753664,86,0
14.3,29.8,0,1900544,196,134
13.0,29.8,0,757760,198,262
12.6,29.8,0,1073152,372,268
12.9,29.9,0,622592,5215155,79546
11.7,29.9,0,688128,4555396,62818
15.4,29.8,0,684032,248,866
12.2,29.9,0,622592,132,86
12.0,29.9,0,618496,110,134
12.4,29.8,0,753664,86,0
17.5,29.8,0,622592,196,134
12.0,29.8,0,552960,225,1025
10.9,29.7,0,544768,0,0
11.9,29.6,0,622592,0,0
11.2,29.7,0,548864,0,86
14.5,29.7,0,544768,524,354
12.5,29.7,0,581632,282,436
10.8,29.7,0,618496,223,115
12.8,29.7,0,548864,262,220
14.1,29.7,0,552960,86,111
12.8,29.7,0,548864,0,0
12.3,29.7,0,561152,286,512
12.1,29.7,0,569344,34734,6851
11.4,29.7,0,548864,392,268
13.3,29.7,0,1200128,492,362
12.2,29.7,0,1011712,140,115
14.2,29.7,0,1495040,307,455
13.1,29.6,0,1007616,0,161
11.9,29.7,0,1589248,86,0
12.9,29.7,0,1318912,479,560
12.1,29.7,0,18087936,172,0
15.2,29.7,0,761856,4040,4169
12.3,29.7,0,794624,1007,384
12.7,29.7,0,753664,86,0
12.7,29.7,0,761856,10193,6397
12.4,29.6,0,688128,9500,3845
11.4,29.6,0,1413120,1341,928
12.5,29.6,0,692224,66,247
12.2,29.6,0,757760,282,134
11.7,29.6,0,684032,0,111
11.1,29.6,0,552960,86,754
11.7,29.6,0,618496,1640,989
18.0,29.6,0,688128,637,229
12.1,29.6,0,552960,196,134
13.3,29.5,0,548864,703,627
13.1,29.5,0,544768,7371,6674
13.1,29.6,0,552960,0,0
16.8,29.9,0,1851392,756360,22162
12.5,29.9,0,544768,0,0
13.1,29.9,0,552960,306,587
11.8,29.9,0,552960,13274,19220
12.8,29.9,0,868352,5645,7009
13.1,29.9,0,1007616,723,192
12.7,30.0,0,1007616,0,6497
12.4,30.0,0,1003520,1892,477
15.8,30.0,0,1011712,282,134
12.9,30.0,0,1425408,348,491
12.7,30.0,0,1449984,90,86
11.5,30.0,0,1114112,196,295
12.6,30.1,0,2232320,86,0
